Species,Longitude,Latitude,Year_collected,Reference,URL,Notes
Lepus microtis,30.0199,-0.1656,1967,,https://academic.oup.com/jme/article-abstract/13/1/40/907492?redirectedFrom=fulltext,Centroid of Queen Elizabeth National Park; https://zslpublications.onlinelibrary.wiley.com/doi/epdf/10.1111/j.1469-7998.1996.tb05408.x
Lepus microtis,29.90849673,-0.183006536,Various,"Thorn 2009, small mammals of uganda",https://www.researchgate.net/publication/276205408_Small_mammals_of_Uganda,Listed as L victoriae; Digitised from map in monograph using WebPlotDigitizer
Lepus microtis,30,-0.248366013,Various,"Thorn 2009, small mammals of uganda",https://www.researchgate.net/publication/276205408_Small_mammals_of_Uganda,Listed as L victoriae; Digitised from map in monograph using WebPlotDigitizer
Lepus microtis,29.59477124,-1.39869281,Various,"Thorn 2009, small mammals of uganda",https://www.researchgate.net/publication/276205408_Small_mammals_of_Uganda,Listed as L victoriae; Digitised from map in monograph using WebPlotDigitizer
Lepus microtis,30.64052288,-0.62745098,Various,"Thorn 2009, small mammals of uganda",https://www.researchgate.net/publication/276205408_Small_mammals_of_Uganda,Listed as L victoriae; Digitised from map in monograph using WebPlotDigitizer
Lepus microtis,30.83660131,-1.006535948,Various,"Thorn 2009, small mammals of uganda",https://www.researchgate.net/publication/276205408_Small_mammals_of_Uganda,Listed as L victoriae; Digitised from map in monograph using WebPlotDigitizer
Lepus microtis,31.73856209,-0.339869281,Various,"Thorn 2009, small mammals of uganda",https://www.researchgate.net/publication/276205408_Small_mammals_of_Uganda,Listed as L victoriae; Digitised from map in monograph using WebPlotDigitizer
Lepus microtis,32.44444444,1.006535948,Various,"Thorn 2009, small mammals of uganda",https://www.researchgate.net/publication/276205408_Small_mammals_of_Uganda,Listed as L victoriae; Digitised from map in monograph using WebPlotDigitizer
Lepus microtis,33.49019608,1.660130719,Various,"Thorn 2009, small mammals of uganda",https://www.researchgate.net/publication/276205408_Small_mammals_of_Uganda,Listed as L victoriae; Digitised from map in monograph using WebPlotDigitizer
Lepus microtis,34.54901961,1.137254902,Various,"Thorn 2009, small mammals of uganda",https://www.researchgate.net/publication/276205408_Small_mammals_of_Uganda,Listed as L victoriae; Digitised from map in monograph using WebPlotDigitizer
Lepus microtis,34.24836601,2.758169935,Various,"Thorn 2009, small mammals of uganda",https://www.researchgate.net/publication/276205408_Small_mammals_of_Uganda,Listed as L victoriae; Digitised from map in monograph using WebPlotDigitizer
Lepus microtis,33.63398693,3.738562092,Various,"Thorn 2009, small mammals of uganda",https://www.researchgate.net/publication/276205408_Small_mammals_of_Uganda,Listed as L victoriae; Digitised from map in monograph using WebPlotDigitizer
Lepus microtis,31.58169935,2.261437908,Various,"Thorn 2009, small mammals of uganda",https://www.researchgate.net/publication/276205408_Small_mammals_of_Uganda,Listed as L victoriae; Digitised from map in monograph using WebPlotDigitizer
Lepus capensis,31.83006536,2.222222222,Various,"Thorn 2009, small mammals of uganda",https://www.researchgate.net/publication/276205408_Small_mammals_of_Uganda, Digitised from map in monograph using WebPlotDigitizer
Lepus capensis,33.24183007,1.39869281,Various,"Thorn 2009, small mammals of uganda",https://www.researchgate.net/publication/276205408_Small_mammals_of_Uganda, Digitised from map in monograph using WebPlotDigitizer
Lepus capensis,34.73202614,2.535947712,Various,"Thorn 2009, small mammals of uganda",https://www.researchgate.net/publication/276205408_Small_mammals_of_Uganda, Digitised from map in monograph using WebPlotDigitizer
Lepus capensis,34.23529412,2.732026144,Various,"Thorn 2009, small mammals of uganda",https://www.researchgate.net/publication/276205408_Small_mammals_of_Uganda, Digitised from map in monograph using WebPlotDigitizer
Lepus capensis,34.09150327,2.993464052,Various,"Thorn 2009, small mammals of uganda",https://www.researchgate.net/publication/276205408_Small_mammals_of_Uganda, Digitised from map in monograph using WebPlotDigitizer
Lepus capensis,34.26143791,3.320261438,Various,"Thorn 2009, small mammals of uganda",https://www.researchgate.net/publication/276205408_Small_mammals_of_Uganda, Digitised from map in monograph using WebPlotDigitizer
Lepus capensis,33.62091503,3.725490196,Various,"Thorn 2009, small mammals of uganda",https://www.researchgate.net/publication/276205408_Small_mammals_of_Uganda, Digitised from map in monograph using WebPlotDigitizer
